Starting single threaded tests...
Done!
Starting multi threaded tests...
Threads,Contention,Time (ms)
1,0,2281.63
1,0.0625,3943.47
1,0.125,724.398
1,0.1875,1306.24
1,0.25,722.078
1,0.3125,633.205
1,0.375,733.882
1,0.4375,600.642
1,0.5,604.987
1,0.5625,599.769
1,0.625,593.792
1,0.6875,628.513
1,0.75,602.871
1,0.8125,614.182
1,0.875,654.44
1,0.9375,665.284
1,1,604.457
2,0,1130.38
2,0.0625,1437.17
2,0.125,1424.6
2,0.1875,2101.98
2,0.25,1398.18
2,0.3125,1503.22
2,0.375,2050.83
2,0.4375,2861.27
2,0.5,885.331
2,0.5625,865.73
2,0.625,965.757
2,0.6875,932.027
2,0.75,1088
2,0.8125,979.595
2,0.875,1261.65
2,0.9375,1006.71
2,1,1404.73
3,0,1047.57
3,0.0625,1431.03
3,0.125,2106.11
3,0.1875,1115.08
3,0.25,948.633
3,0.3125,844.467
3,0.375,824.645
3,0.4375,835.99
3,0.5,911.802
3,0.5625,964.174
3,0.625,1249.52
3,0.6875,1315.85
3,0.75,1288.89
3,0.8125,1514
3,0.875,1186.06
3,0.9375,912.723
3,1,1121.74
4,0,1381.17
4,0.0625,1366.83
4,0.125,1147.45
4,0.1875,1311.23
4,0.25,1438.65
4,0.3125,1354.13
4,0.375,1687.78
4,0.4375,1352.84
4,0.5,1790.24
4,0.5625,983.885
4,0.625,977.176
4,0.6875,1012.54
4,0.75,1019.33
4,0.8125,1050.2
4,0.875,1100.94
4,0.9375,1075.89
4,1,2021.59
5,0,1481.28
5,0.0625,1566.61
5,0.125,1420.49
5,0.1875,1282.34
5,0.25,1801.71
5,0.3125,1128.08
5,0.375,1090.58
5,0.4375,1115
5,0.5,1130.98
5,0.5625,1132.09
5,0.625,1232.53
5,0.6875,1280.96
5,0.75,1324.38
5,0.8125,1438.75
5,0.875,1693.16
5,0.9375,1863.05
5,1,2210.15
6,0,1417.22
6,0.0625,1100.37
6,0.125,1121.64
6,0.1875,1103.67
6,0.25,1151.69
6,0.3125,1137.46
6,0.375,1289.89
6,0.4375,1105.94
6,0.5,1092.34
6,0.5625,1096.75
6,0.625,1098.09
6,0.6875,1086.91
6,0.75,1089.82
6,0.8125,1099.32
6,0.875,1097.48
6,0.9375,1105.39
6,1,1915.41
7,0,1366.62
7,0.0625,1185.01
7,0.125,1283.76
7,0.1875,1210.72
7,0.25,1357.76
7,0.3125,1385.48
7,0.375,1341.91
7,0.4375,1209.62
7,0.5,1449.89
7,0.5625,1387.29
7,0.625,1269.11
7,0.6875,1390.35
7,0.75,1197.93
7,0.8125,1185.26
7,0.875,1215.53
7,0.9375,1324.56
7,1,2527.32
8,0,1261.2
8,0.0625,1275.36
8,0.125,1334.83
8,0.1875,1281.28
8,0.25,1287.56
8,0.3125,1296.36
8,0.375,1412.37
8,0.4375,1475.58
8,0.5,1525.57
8,0.5625,1316.98
8,0.625,1284.21
8,0.6875,1274.42
8,0.75,1310.78
8,0.8125,1336.13
8,0.875,1314.84
8,0.9375,1282.96
8,1,2088.11
9,0,1363.6
9,0.0625,1412.64
9,0.125,1363.82
9,0.1875,1454.58
9,0.25,1487.45
9,0.3125,1401.75
9,0.375,1387.64
9,0.4375,1354.51
9,0.5,1401.96
9,0.5625,1393.34
9,0.625,1408.38
9,0.6875,1411.12
9,0.75,1375.1
9,0.8125,1629.23
9,0.875,1435.05
9,0.9375,1430.84
9,1,2410.75
10,0,1548.72
10,0.0625,1506.26
10,0.125,1606.64
10,0.1875,1564.58
10,0.25,1488.77
10,0.3125,1626.94
10,0.375,1619.68
10,0.4375,1552.52
10,0.5,1611.84
10,0.5625,1653.61
10,0.625,1593.1
10,0.6875,1568.97
10,0.75,1582.98
10,0.8125,1622.74
10,0.875,1612.98
10,0.9375,1671.02
10,1,2333.88
11,0,1609.17
11,0.0625,1654.76
11,0.125,1711.67
11,0.1875,1626.66
11,0.25,1646.26
11,0.3125,1704.93
11,0.375,1648.33
11,0.4375,1679.94
11,0.5,1701.32
11,0.5625,1762.8
11,0.625,1708.75
11,0.6875,1668.44
11,0.75,1695.26
11,0.8125,1641.72
11,0.875,1670.18
11,0.9375,1680.21
11,1,2432.09
12,0,1531.94
12,0.0625,1716.34
12,0.125,1679.85
12,0.1875,1734.89
12,0.25,1722.75
12,0.3125,1684.43
12,0.375,1677.79
12,0.4375,1644.64
12,0.5,1681.24
12,0.5625,1810.38
12,0.625,1814.98
12,0.6875,1680.59
12,0.75,1640.24
12,0.8125,1723.45
12,0.875,1706.83
12,0.9375,1722.14
12,1,2455.73
13,0,1647.41
13,0.0625,1667.57
13,0.125,1810.41
13,0.1875,1742.63
13,0.25,1709.67
13,0.3125,1690.86
13,0.375,1670.7
13,0.4375,1671.85
13,0.5,1681.12
13,0.5625,1758.09
13,0.625,1749.23
13,0.6875,1725.07
13,0.75,1707.58
13,0.8125,1785.37
13,0.875,1776.24
13,0.9375,1807.18
13,1,2384.8
14,0,1644.56
14,0.0625,1749.69
14,0.125,1730.69
14,0.1875,1779.31
14,0.25,1789.84
14,0.3125,1774.87
14,0.375,1696.11
14,0.4375,1807.26
14,0.5,1802.54
14,0.5625,2056.39
14,0.625,1741.68
14,0.6875,1810.83
14,0.75,1825.59
14,0.8125,1765.73
14,0.875,1855.37
14,0.9375,1801.01
14,1,2477.12
15,0,1316.1
15,0.0625,1418.9
15,0.125,1437.55
15,0.1875,1454.66
15,0.25,1442.98
15,0.3125,1393.83
15,0.375,1412.6
15,0.4375,1398.8
15,0.5,1318.47
15,0.5625,1508.89
15,0.625,1398.99
15,0.6875,1386.65
15,0.75,1471.89
15,0.8125,1458.29
15,0.875,1428.06
15,0.9375,1427.55
15,1,2562.37
16,0,1419.44
16,0.0625,1902.76
16,0.125,1908.17
16,0.1875,1716.75
16,0.25,1665.78
16,0.3125,1645.8
16,0.375,1596.83
16,0.4375,1746.26
16,0.5,1591.67
16,0.5625,1657.54
16,0.625,1717.36
16,0.6875,1717.09
16,0.75,1962.95
16,0.8125,1746.21
16,0.875,1627.05
16,0.9375,1613.14
16,1,2470.28
17,0,1463.75
17,0.0625,1540.48
17,0.125,1586.72
17,0.1875,1557.41
17,0.25,1589.45
17,0.3125,1582.05
17,0.375,1603.8
17,0.4375,1571.09
17,0.5,1543.85
17,0.5625,1568.58
17,0.625,1549.23
17,0.6875,1571.91
17,0.75,1582.38
17,0.8125,1661.49
17,0.875,1625.6
17,0.9375,1646.61
17,1,2418.62
18,0,1440.48
18,0.0625,1489.5
18,0.125,1488.03
18,0.1875,1520.26
18,0.25,1468.32
18,0.3125,1448.83
18,0.375,1451.61
18,0.4375,1500.04
18,0.5,1423.13
18,0.5625,1790.59
18,0.625,1441.53
18,0.6875,1485.73
18,0.75,1450.92
18,0.8125,1525.65
18,0.875,1491.62
18,0.9375,1518.45
18,1,2375.52
19,0,1447.87
19,0.0625,1451.71
19,0.125,1516.69
19,0.1875,1421.34
19,0.25,1513.96
19,0.3125,1438.21
19,0.375,1414.79
19,0.4375,1442.58
19,0.5,1413.18
19,0.5625,1420.54
19,0.625,1418.09
19,0.6875,1472.87
19,0.75,1451.49
19,0.8125,1470.98
19,0.875,1544.82
19,0.9375,1496.28
19,1,2306.98
20,0,1392.92
20,0.0625,1460.3
20,0.125,1452.8
20,0.1875,1462.26
20,0.25,1466.43
20,0.3125,1412.53
20,0.375,1420.97
20,0.4375,1426.44
20,0.5,1377.25
20,0.5625,1435.51
20,0.625,1422.08
20,0.6875,1405.7
20,0.75,1409.1
20,0.8125,1427.43
20,0.875,1459.13
20,0.9375,1458.14
20,1,2319.47
21,0,1377.71
21,0.0625,1434.29
21,0.125,1501.57
21,0.1875,1510.01
21,0.25,1529.03
21,0.3125,1475.75
21,0.375,1503.47
21,0.4375,1462.73
21,0.5,1491.3
21,0.5625,1544.08
21,0.625,1451.68
21,0.6875,1462.51
21,0.75,1486.69
21,0.8125,1535.03
21,0.875,1510.92
21,0.9375,1567.19
21,1,1917.98
22,0,1523.55
22,0.0625,1622.76
22,0.125,1564.02
22,0.1875,1597.12
22,0.25,1551.41
22,0.3125,1466.61
22,0.375,1441.01
22,0.4375,1478.51
22,0.5,1468.13
22,0.5625,1483.07
22,0.625,1432.6
22,0.6875,1442.73
22,0.75,1463.87
22,0.8125,1426.64
22,0.875,1433.14
22,0.9375,1554.89
22,1,1763.13
23,0,1419.02
23,0.0625,1534.05
23,0.125,1580.03
23,0.1875,1563.9
23,0.25,1439.75
23,0.3125,1423.98
23,0.375,1396.22
23,0.4375,1513.88
23,0.5,1365.89
23,0.5625,1515.48
23,0.625,1442.54
23,0.6875,1400.85
23,0.75,1396.18
23,0.8125,1426.25
23,0.875,1477.08
23,0.9375,1507.07
23,1,2310.39
24,0,1352.48
24,0.0625,1369.28
24,0.125,1502.41
24,0.1875,1429.13
24,0.25,1625.22
24,0.3125,1412.33
24,0.375,1361.64
24,0.4375,1483.82
24,0.5,1366.04
24,0.5625,1420.37
24,0.625,1365.23
24,0.6875,1384.5
24,0.75,1370.67
24,0.8125,1414.43
24,0.875,1442.29
24,0.9375,1509.92
24,1,2224.03
25,0,1406.4
25,0.0625,1383.61
25,0.125,1461.68
25,0.1875,1323.47
25,0.25,1392.84
25,0.3125,1447.15
25,0.375,1417.32
25,0.4375,866.404
25,0.5,792.556
25,0.5625,856.798
25,0.625,1376.9
25,0.6875,1508.78
25,0.75,1309.45
25,0.8125,1262.7
25,0.875,1279.01
25,0.9375,1275.15
25,1,1981.15
26,0,1221.69
26,0.0625,1213.41
26,0.125,1431.88
26,0.1875,1265.27
26,0.25,1431.05
26,0.3125,1409.78
26,0.375,1211.24
26,0.4375,1211.88
26,0.5,1239.96
26,0.5625,1258.49
26,0.625,1381.83
26,0.6875,1244.04
26,0.75,1243.74
26,0.8125,1245.94
26,0.875,1274.8
26,0.9375,1260.24
26,1,1594.97
27,0,1193.29
27,0.0625,1223.6
27,0.125,1416.27
27,0.1875,1232.83
27,0.25,1270.66
27,0.3125,1248.43
27,0.375,1398.67
27,0.4375,1553.31
27,0.5,1237.45
27,0.5625,1265.86
27,0.625,1232.49
27,0.6875,1206.68
27,0.75,1219.03
27,0.8125,1245.69
27,0.875,1248.48
27,0.9375,1264.7
27,1,1701.82
28,0,1199.53
28,0.0625,1242.49
28,0.125,1262.98
28,0.1875,1650.25
28,0.25,1629.18
28,0.3125,1190.89
