Threads,Contention,Time (ms)
1,0,469.192
1,0.0625,542.136
1,0.125,582.325
1,0.1875,686.053
1,0.25,590.658
1,0.3125,581.194
1,0.375,589.823
1,0.4375,593.71
1,0.5,678.874
1,0.5625,629.979
1,0.625,604.916
1,0.6875,606.872
1,0.75,595.393
1,0.8125,608.113
1,0.875,681.398
1,0.9375,563.202
1,1,579.443
2,0,694.648
2,0.0625,794.361
2,0.125,856.865
2,0.1875,825.799
2,0.25,757.84
2,0.3125,794.566
2,0.375,803.196
2,0.4375,975.848
2,0.5,822.824
2,0.5625,813.191
2,0.625,807.978
2,0.6875,776.529
2,0.75,990.374
2,0.8125,832.588
2,0.875,837.21
2,0.9375,818.414
2,1,1044.23
3,0,934.71
3,0.0625,938.737
3,0.125,1016.38
3,0.1875,1022.17
3,0.25,998.839
3,0.3125,993.323
3,0.375,993.186
3,0.4375,974.814
3,0.5,987.903
3,0.5625,1017.17
3,0.625,944.917
3,0.6875,1013.4
3,0.75,1019
3,0.8125,1036.65
3,0.875,1020.08
3,0.9375,1009.14
3,1,1253.82
4,0,796.021
4,0.0625,821.87
4,0.125,1000.7
4,0.1875,842.854
4,0.25,871.156
4,0.3125,880.101
4,0.375,818.528
4,0.4375,976.794
4,0.5,847.468
4,0.5625,821.688
4,0.625,800.985
4,0.6875,845.514
4,0.75,857.362
4,0.8125,948.301
4,0.875,857.835
4,0.9375,862.089
4,1,1468.64
5,0,993.061
5,0.0625,881.812
5,0.125,870.954
5,0.1875,880.455
5,0.25,877.703
5,0.3125,1086.89
5,0.375,861.299
5,0.4375,857.417
5,0.5,888.149
5,0.5625,835.816
5,0.625,1004.89
5,0.6875,820.48
5,0.75,861.699
5,0.8125,841.173
5,0.875,875.065
5,0.9375,968.369
5,1,1637.54
6,0,863.247
6,0.0625,893.975
6,0.125,1028.05
6,0.1875,865.459
6,0.25,886.561
6,0.3125,961.044
6,0.375,940.865
6,0.4375,1206.52
6,0.5,878.171
6,0.5625,870.591
6,0.625,882.326
6,0.6875,922.906
6,0.75,1179.17
6,0.8125,894.966
6,0.875,908.132
6,0.9375,936.9
6,1,1728.59
7,0,954.28
7,0.0625,951.03
7,0.125,982.293
7,0.1875,1112.3
7,0.25,974.144
7,0.3125,967.145
7,0.375,968.872
7,0.4375,992.584
7,0.5,1327.7
7,0.5625,968.472
7,0.625,992.8
7,0.6875,965.1
7,0.75,1057.34
7,0.8125,1221.49
7,0.875,993.084
7,0.9375,1038.56
7,1,1657.89
8,0,1010.98
8,0.0625,1418.52
8,0.125,1104.63
8,0.1875,1024.25
8,0.25,1042.77
8,0.3125,1026.31
8,0.375,1513.54
8,0.4375,1018.27
8,0.5,1018.63
8,0.5625,1042.5
8,0.625,1034.73
8,0.6875,1517.05
8,0.75,1025.9
8,0.8125,1043.85
8,0.875,1049.68
8,0.9375,1086.4
8,1,2354.82
9,0,1037.84
9,0.0625,1056.8
9,0.125,1046.03
9,0.1875,1173.25
9,0.25,1512.96
