Starting single threaded tests...
Done!
Starting multi threaded tests...
Threads,Contention,Time (ms)
1,0,557.238
1,0.0625,738.001
1,0.125,704.901
1,0.1875,682.64
1,0.25,670.464
1,0.3125,712.167
1,0.375,702.483
1,0.4375,749.868
1,0.5,727.863
1,0.5625,723.097
1,0.625,660.303
1,0.6875,659.092
1,0.75,702.726
1,0.8125,711.744
1,0.875,711.6
1,0.9375,752.258
1,1,706.68
2,0,901.223
2,0.0625,802.252
2,0.125,962.266
2,0.1875,858.788
2,0.25,819.845
2,0.3125,922.534
2,0.375,862.174
2,0.4375,857.207
2,0.5,915.721
2,0.5625,1251.23
2,0.625,968.357
2,0.6875,952.958
2,0.75,983.731
2,0.8125,926.759
2,0.875,976.432
2,0.9375,872.355
2,1,1263.64
3,0,987.686
3,0.0625,1106.98
3,0.125,1086.78
3,0.1875,1139.86
3,0.25,1123.24
3,0.3125,1147.25
3,0.375,1095.18
3,0.4375,1089.56
3,0.5,1037.82
3,0.5625,993.059
3,0.625,1082.77
3,0.6875,1182.46
3,0.75,1123.9
3,0.8125,1121.85
3,0.875,1221.93
3,0.9375,1163.09
3,1,1409.03
4,0,1066.58
4,0.0625,975.764
4,0.125,1077.44
4,0.1875,961.237
4,0.25,988.103
4,0.3125,1046.99
4,0.375,975.318
4,0.4375,1095.54
4,0.5,1073.75
4,0.5625,850.206
4,0.625,891.608
4,0.6875,913.764
4,0.75,894.411
4,0.8125,898.698
4,0.875,929.409
4,0.9375,1286.92
4,1,1839.98
5,0,991.755
5,0.0625,988.465
5,0.125,1061.95
5,0.1875,1045.46
5,0.25,1058.19
5,0.3125,1086.38
5,0.375,1024.42
5,0.4375,1144.25
5,0.5,1140.53
5,0.5625,1072.9
5,0.625,1102.57
5,0.6875,1042.87
5,0.75,993.501
5,0.8125,1185.35
5,0.875,862.633
5,0.9375,975.041
5,1,1653.14
6,0,1052.63
6,0.0625,1020.19
6,0.125,1113.78
6,0.1875,1112.82
6,0.25,1159.41
6,0.3125,1103.67
6,0.375,1100.51
6,0.4375,1083.84
6,0.5,1096.95
6,0.5625,1116.58
6,0.625,1085.8
6,0.6875,1133.91
6,0.75,1110.39
6,0.8125,1135.38
6,0.875,1165.69
6,0.9375,946.768
6,1,1516.7
7,0,968.099
7,0.0625,1026.09
7,0.125,1022.52
7,0.1875,1036.38
7,0.25,985.76
7,0.3125,1011.25
7,0.375,962.224
7,0.4375,1004.69
7,0.5,1020.3
7,0.5625,979.875
7,0.625,999.378
7,0.6875,941.401
7,0.75,961.028
7,0.8125,996.407
