Threads,Contention,Time (ms) (Read-only)
1,0,846.111
1,0.24999,794.505
1,0.49999,796.826
1,0.74999,815.046
1,0.99999,816.064
4,0,2100.61
4,0.24999,1649.83
4,0.49999,1789.42
4,0.74999,1687.79
4,0.99999,1770.3
16,0,1682.63
16,0.24999,1302.53
16,0.49999,1268.68
16,0.74999,1360.84
16,0.99999,1610.09
Threads,Contention,Time (ms) (Read-only)
2,0,1861.82
2,0.24999,1622.66
2,0.49999,1748.22
2,0.74999,1844.55
2,0.99999,1787.17
8,0,2281.81
8,0.24999,1596.38
8,0.49999,1786.41
8,0.74999,1910.93
8,0.99999,1999.08
32,0,1586.62
32,0.24999,1647.54
32,0.49999,1591.64
32,0.74999,1563.33
32,0.99999,1627.85
