Threads,Contention,Time (ms) (Read-only)
1,0,2002.96
1,0.24999,2121.47
1,0.49999,2138.77
1,0.74999,2070.71
1,0.99999,2110.39
4,0,1723.55
4,0.24999,1832.17
4,0.49999,1708.17
4,0.74999,1841.3
4,0.99999,1857.21
16,0,1478.6
16,0.24999,1398.73
16,0.49999,1475.35
16,0.74999,1411.04
16,0.99999,1438.94
Threads,Contention,Time (ms) (Read-only)
2,0,1638.43
2,0.24999,1439.81
2,0.49999,1637.46
2,0.74999,1801.94
2,0.99999,1962.88
8,0,1857.64
8,0.24999,2081.17
8,0.49999,2035.66
8,0.74999,2075.75
8,0.99999,2166.59
32,0,1461.33
32,0.24999,1322.32
32,0.49999,1470.11
32,0.74999,1388.53
32,0.99999,1497.8
