Threads,Contention,Time (ms) (r/w)
1,0,1888.28
1,0.24999,1926.44
1,0.49999,1935.15
1,0.74999,1940.13
1,0.99999,1934.43
4,0,8054.78
4,0.24999,8114.89
4,0.49999,7401.29
4,0.74999,8589.95
4,0.99999,6521.75
16,0,8010.44
16,0.24999,8076.31
16,0.49999,8061.99
16,0.74999,8109.33
16,0.99999,7471.02
Threads,Contention,Time (ms) (r/w)
2,0,1816.95
2,0.24999,1805.12
2,0.49999,1787.69
2,0.74999,1735.59
2,0.99999,2388.84
8,0,8103.25
8,0.24999,8047.53
8,0.49999,8109.71
8,0.74999,8249.37
8,0.99999,7859.67
32,0,8329.59
32,0.24999,8074.89
32,0.49999,8226
32,0.74999,8255.47
32,0.99999,7547.5
