Threads,Contention,Time (ms) (r/w)
1,0,1389.02
1,0.24999,1473.48
1,0.49999,1427.42
1,0.74999,1413.05
1,0.99999,1412.87
4,0,6157.06
4,0.24999,6434.54
4,0.49999,6393.06
4,0.74999,5969.38
4,0.99999,7853.08
16,0,6324.25
16,0.24999,6788.62
16,0.49999,6526.5
16,0.74999,6244.35
16,0.99999,6494.89
Threads,Contention,Time (ms) (r/w)
2,0,1780.26
2,0.24999,2173.35
2,0.49999,2110.83
2,0.74999,2111.98
2,0.99999,1954.75
8,0,6529.83
8,0.24999,6404.5
8,0.49999,6378.59
8,0.74999,6286.32
8,0.99999,6833
32,0,5642.77
32,0.24999,5363
32,0.49999,4796.83
32,0.74999,5099.16
32,0.99999,5696.23
