Threads,Contention,Time (ms) (Read-only)
1,0,1208.86
1,0.24999,1295.92
1,0.49999,1179.66
1,0.74999,1164.4
1,0.99999,1225.83
4,0,255.607
4,0.24999,255.723
4,0.49999,273.281
4,0.74999,291.934
4,0.99999,346.179
16,0,66.263
16,0.24999,61.3409
16,0.49999,63.0877
16,0.74999,63.5608
16,0.99999,74.8422
Threads,Contention,Time (ms) (Read-only)
2,0,657.955
2,0.24999,664.362
2,0.49999,644.766
2,0.74999,642.843
2,0.99999,762.895
8,0,130.142
8,0.24999,149.315
8,0.49999,145.936
8,0.74999,152.352
8,0.99999,191.568
32,0,56.8276
32,0.24999,49.8749
32,0.49999,52.7774
32,0.74999,54.6778
32,0.99999,72.1029
