Threads,Contention,Time (ms) (r/w)
2,0,728.09
2,0.24999,729.162
2,0.49999,885.091
2,0.74999,761.715
2,0.99999,1051.02
8,0,188.903
8,0.24999,202.582
8,0.49999,193.749
8,0.74999,216.207
8,0.99999,412.751
32,0,188.345
32,0.24999,114.455
32,0.49999,87.3528
32,0.74999,94.8908
32,0.99999,269.729
Threads,Contention,Time (ms) (r/w)
2,0,730.903
2,0.24999,742.463
2,0.49999,893.018
2,0.74999,877.17
2,0.99999,1006.73
8,0,180.861
8,0.24999,196.84
8,0.49999,206.57
8,0.74999,204.606
8,0.99999,400.459
32,0,159.587
32,0.24999,114.004
32,0.49999,94.2917
32,0.74999,113.69
32,0.99999,201.482
